Semester,Case Name,Company Name,Industry,Brief Case Description,Detailed Case Description,Programming Languages Used,Tech Stack
F20,Bloom,Bloom,Education,"HDAG built a website for Bloom, an online education non-profit organization in China, to facilitate user feedback and data collection, and provided data-driven consulting services to optimize tutor-student matching and engagement strategies.","The case involved HDAG building a website for Bloom, an online education non-profit organization in China. The website aimed to facilitate user and admin interactions by allowing participants to provide ratings, comments, and feedback on tutors and overall experiences. HDAG launched the website mid-semester, collected live data, and transferred historical performance records into the system. Additionally, HDAG provided data-driven consulting services focused on optimizing tutor-student matching and enhancing educational engagement. Throughout the project, HDAG members communicated with Bloom's liaison, presented to the founder, and engaged with students in classes to understand diverse backgrounds in China.",JavaScript,JavaScript
F20,Schneider Electric,Schneider Electric,Energy,"The case focused on providing enhanced Indirect Procurement (IP) spend visibility by building on an existing platform to improve categorization integrity, enhance descriptive spend data analytics, enable predictive spend analytics, and produce consolidated spend reporting. The students aimed to create a ""one version of truth"" for all IP spend, enable predictive analytics, build on data visualization, and explore the value of RPA and AI in identifying patterns and opportunities to reduce spend. Additionally, another case provided deep insights into employee help desk requests, analyzing demographics and behaviors behind the requests to understand changes in call volume.","The case involved providing enhanced Indirect Procurement (IP) spend visibility by building on an existing platform containing IP spend data. The students aimed to improve categorization integrity, enhance descriptive spend data analytics, enable predictive spend analytics via RPA or machine learning, and produce consolidated spend reporting that could accommodate all IP spend reporting needs across the Enterprise, customizable to Divisions. They focused on enhancing data structure and data pull logic for a unified view of all IP spend, enabling predictive analytics, building on data visualization foundations, and exploring how RPA and AI could identify patterns and opportunities to reduce spend. Additionally, another aspect of the case involved providing deep insights into employee help desk requests, analyzing factors such as digital acumen, age group, self-service willingness, and understanding the reasons behind requests and call volume changes. The students addressed the challenge of limited data regarding demographics and behaviors despite receiving hundreds of thousands of requests annually.",UNKNOWN,UNKNOWN
F20,SIMON Markets,SIMON Markets LLC.,Fintech,HDAG reconciled SEC product terms with SIMON's internal records and automated the extraction of data from various client Excel files.,HDAG reconciled SEC product terms with SIMON's internal records and automated the extraction of data from various client Excel files,Python,"Excel, Python"
F20,NYC & Company,NYC & Company,Tourism,"The case involved building a comprehensive dashboard for NYC tourism using approximately 30 data sources. The dashboard was designed for the NYC government and NYC & Co members, focusing on themes such as the hotel industry, visitor identification, economic indicators, competitive tracking, vital statistics, and convention performance. The HDAG team worked on the front-end design and construction of the dashboard, ensuring it was both aesthetically pleasing and insightful for users. The project required significant data manipulation and design work, utilizing tools like R, Tableau, and Microsoft Publisher.","The HDAG team helped build the ultimate dashboard for NYC tourism using approximately 30 data sources for the use of the NYC government and NYC & Co members. The case focused on themes such as the hotel industry, visitor identification and understanding, economic indicators, competitive tracking, the Office of Vital Statistics, and convention and event performance. The team received support from a back-end data engineer for data manipulation work, while their focus remained on designing and building an aesthetic and insightful dashboard. The project involved using R, Tableau, and Microsoft Publisher, and required significant design work.","R, Tableau, Microsoft Publisher","R, Tableau, Microsoft Publisher"
F21,Airbus,Airbus,Aerospace,The Harvard Data Analytics Group collaborated with Airbus to develop and validate datasets on critical resources and create predictive pricing models for the OS-Climate open-source platform. This effort supported Airbus’s goal to reduce CO₂ emissions by 50% by 2050 while contributing valuable climate data for global accessibility and impact.,"The Harvard Data Analytics Group partnered with Airbus to support the company's commitment to the OS-Climate open-source project. This collaboration aimed to enhance the accessibility and utility of climate data, aligning with Airbus's strategic objective to reduce CO₂ emissions by 50% by 2050. Recognizing the necessity of collective effort among industry leaders, Airbus sought to contribute effectively to OS-Climate to drive substantial environmental impact.",UNKNOWN,UNKNOWN
F20,UNIDO,United Nations Industrial Development Organization,International diplomacy and International economics,"The Harvard Data Analytics Group created visualizations for UNIDO’s Strategy Department, showcasing the organization’s contributions to Inclusive and Sustainable Industrial Development (ISID) and the Sustainable Development Goals (SDGs). These visualizations, based on the IRPF and Medium-term Programme Framework (2018-2021), provided clear insights into UNIDO’s performance and impact for diverse stakeholders.","The Harvard Data Analytics Group (HDAG) collaborated with the Strategy Department of the United Nations Industrial Development Organization (UNIDO) to create data visualizations showcasing UNIDO's contributions to Inclusive and Sustainable Industrial Development (ISID) and the Sustainable Development Goals (SDGs). Using the Integrated Results and Performance Framework (IRPF) and the Medium-term Programme Framework (2018-2021) as guiding structures, HDAG developed visual analytics that highlighted key performance metrics and results.",UNKNOWN,UNKNOWN
F21,HeadSpace,Headspace,Wellness,"The case involved creating forecasting models on various metrics to help inform business expectations for Headspace. The students built weekly or monthly forecasting models that forecasted Headspace subscription metrics through December 2022, utilizing methods such as ARIMAX and Facebook Prophet. They prioritized metrics including free trial starts, free trial conversion rate, paid member renewal rate, average revenue per member, content starts, and active days. Additionally, the students generated insights from the forecast models and presented key insights on the subscription KPI data.","The case involved the Harvard Data Analytics Group creating forecasting models on various metrics to help inform business expectations for Headspace. The students built weekly or monthly forecasting models that forecasted Headspace subscription metrics through December 2022, utilizing methods such as ARIMAX and Facebook Prophet. They prioritized metrics including free trial starts, free trial conversion rate, paid member renewal rate, average revenue per member, content starts, and active days. Separate models were developed for monthly and annual plans, and the final deliverables included statistical modeling code used to generate each forecasting model. Additionally, the students generated insights from the forecast models and presented key insights on the subscription KPI data from Headspace.","Python, R","Python, R"
F20,UNWTO,United Nations World Tourism Organization,International diplomacy and tourism,"The Harvard Data Analytics Group collaborated with the UN World Tourism Organization to analyze and forecast international tourism trends using Google Trends and UNWTO data on tourist arrivals and receipts. The project provided data-driven insights into the relationship between search behaviors, tourist arrivals, and spending, supporting UNWTO’s efforts in promoting sustainable and competitive tourism.",The Harvard Data Analytics Group (HDAG) partnered with the United Nations World Tourism Organization (UNWTO) to support the Market Intelligence & Competitiveness Department in enhancing tourism forecasting capabilities. The project utilized Google Trends data alongside UNWTO's monthly and quarterly datasets on international tourist arrivals and tourism receipts to analyze correlations between tourist arrivals and spending patterns across countries.,UNKNOWN,Google Trends API
F21,HP,HP,Technology,"The HDAG team worked closely with HP’s head of Digital Product to use data and develop potential new digital products. The case involved exploring a large quantity of user data from HP’s devices to identify user pain points and new product offerings, as well as identifying avenues for HP to leverage its existing user base and product offerings to create new features and services primarily in the digital space.","The HDAG team worked closely with HP’s head of Digital Product to use data and develop potential new digital products. The case involved exploring a large quantity of user data from HP’s devices, including printers and scanners, to identify user pain points and new product offerings. The team aimed to identify avenues where HP could leverage its existing user base and product offerings to create new features and services primarily in the digital space.",UNKNOWN,UNKNOWN
F21,Onna,Onna,Data management,"The Harvard Data Analytics Group developed a graph-based program for Onna to visualize employee workspace interactions using data from Slack, Google Drive, email, and Confluence. Packaged in a Docker container, the program provided insights into collaboration patterns and identified opportunities to optimize Onna’s tools for improved productivity.","The Harvard Data Analytics Group (HDAG) collaborated with Onna to develop a program that creates a graph/network representing employee workspace interactions. This open-ended project aimed to explore collaboration patterns using data from multiple sources, such as Slack messages, Google Drive interactions, emails, and Confluence activity. By analyzing these interactions, the project sought to identify ways Onna’s tools could further enhance collaboration and productivity.",UNKNOWN,Docker
