file_path,Semester,Case Name,Company Name,Brief Case Description,Detailed Case Description,Outcome,Programming Languages Used,Tech Stack,KPIs
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F20_Schneider_Case.pdf,F20,Case Name: Provide enhanced Indirect Procurement (IP) spend visibility,Schneider Electric,"Provide enhanced Indirect Procurement (IP) spend visibility by building on an existing platform (Prism) containing IP spend data to improve categorization integrity, enhance descriptive spend data analytics, enable predictive spend analytics via RPA or machine learning, and produce consolidated spend reporting that can accommodate all IP spend reporting needs across the Enterprise, customizable to Divisions.","Provide enhanced Indirect Procurement (IP) spend visibility. Build on an existing platform (Prism) containing IP spend data to improve categorization integrity, enhance descriptive spend data analytics, enable predictive spend analytics via RPA or machine learning, and produce consolidated spend reporting (one version of truth) that can accommodate all IP spend reporting needs across the Enterprise, customizable to Divisions. 1) enhanced data structure and data pull logic to accommodate “one version of truth” for all IP spend; 2) enable predictive analytics (definition and enablement) above and beyond enhancing the descriptive data analytics; 3) build on the data visualization foundation and explore what the next iteration can be; 4) explore how RPA and AI (machine learning) can add value by identifying patterns and opportunities to reduce the spend.",Outcome: Provide enhanced Indirect Procurement (IP) spend visibility and deep insights to employee help desk requests.,"**Programming Languages Used**: RPA, machine learning","**Tech Stack**: RPA, machine learning, data visualization",**KPIs**: enhanced data structure and data pull logic to accommodate “one version of truth” for all IP spend; enable predictive analytics (definition and enablement) above and beyond enhancing the descriptive data analytics; build on the data visualization foundation and explore what the next iteration can be; explore how RPA and AI (machine learning) can add value by identifying patterns and opportunities to reduce the spend.
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F20_SIMON_Case.pdf,F20,Case Name: SIMON Markets LLC.,SIMON Markets LLC.,Reconcile SEC product terms with our internal records and reconcile data sent by clients against data stored in Excel files. Automate the extraction of data from various client Excel files and consolidate them into a single file.,Reconcile SEC product terms with our internal records. (a) scraping the SEC website (b) storing this data in a database (even sqlite to start is fine) (c) querying our internal APIs (d) identifying any inconsistencies in the data (e) alerting internal teams via email regarding any inconsistencies. No unit testing/deployment required. I estimate this would take about 1 week. Reconcile data sent by clients (within .pdfs) against data stored in Excel files. (a) parsing pdf files (b) reading Excel files (c) scanning for inconsistencies (d) alerting internal teams via email regarding any inconsistencies. Automate the extraction of data from various client Excel files (which arrive in different formats) and consolidate them into a single file. (a) parsing Excel files (b) data manipulation in python pandas (c) any error checking to ensure no data was omitted/duplicated,"Outcome: The project involved reconciling SEC product terms with internal records, reconciling client data from PDFs against Excel files, and automating the extraction and consolidation of data from various client Excel files.",Python,"Tech Stack: scraping, database (sqlite), internal APIs, email alerts, pdf parsing, Excel reading, python pandas","**KPIs**: Reconcile SEC product terms with internal records, reconcile data sent by clients against data stored in Excel files, automate the extraction of data from various client Excel files."
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F20_NYCCompany_Case.pdf,F20,Case Name: NYC & Company,NYC & Company,"We will help build the ultimate dashboard for NYC tourism using ~30 data sources for the use of the NYC government (this will be seen by the mayor’s office) and NYC & Co members (restaurants, theatres etc.) around the following themes: Hotel Industry, Visitor Identification and Understanding, Economic Indicators (including spending and macroeconomic forecasts), Competitive Tracking, Office of Vital Statistics, Convention and Event Performance. The HDAG team will have support of a back end data engineer who may be able to help with the heavy lifting data manipulation work. Our work thus will be more focused on the front-end: designing and building the dashboard to make sure it is (1) aesthetic — matches NYC & Co’s status as the world’s top tourism marketing agency and (2) insightful for the user and not just a plain source of data. Please also note that this project’s workload will be on the heavier side. The project will entail using R, Tableau, Microsoft Publisher and there will be a lot of design work involved. If you rank NYC & Company as a preference, please highlight your skills experiences in any of the skills listed above.","We will help build the ultimate dashboard for NYC tourism using ~30 data sources for the use of the NYC government (this will be seen by the mayor’s office) and NYC & Co members (restaurants, theatres etc.) around the following themes: Hotel Industry, Visitor Identification and Understanding, Economic Indicators (including spending and macroeconomic forecasts), Competitive Tracking, Office of Vital Statistics, Convention and Event Performance. The HDAG team will have support of a back end data engineer who may be able to help with the heavy lifting data manipulation work. Our work thus will be more focused on the front-end: designing and building the dashboard to make sure it is (1) aesthetic — matches NYC & Co’s status as the world’s top tourism marketing agency and (2) insightful for the user and not just a plain source of data. Please also note that this project’s workload will be on the heavier side. The project will entail using R, Tableau, Microsoft Publisher and there will be a lot of design work involved. If you rank NYC & Company as a preference, please highlight your skills experiences in any of the skills listed above.","The project will help build the ultimate dashboard for NYC tourism using ~30 data sources for the use of the NYC government and NYC & Co members, focusing on themes such as Hotel Industry, Visitor Identification and Understanding, Economic Indicators, Competitive Tracking, Office of Vital Statistics, and Convention and Event Performance. The workload will be on the heavier side, involving R, Tableau, Microsoft Publisher, and significant design work.","R, Tableau, Microsoft Publisher","R, Tableau, Microsoft Publisher","**KPIs**: Hotel Industry, Visitor Identification and Understanding, Economic Indicators (including spending and macroeconomic forecasts), Competitive Tracking, Office of Vital Statistics, Convention and Event Performance"
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F20_UNIDO_Case.pdf,F20,"**Case Name**: UNIDO’s contribution to the Inclusive and Sustainable Industrial Development (ISID) and the Sustainable Development Goals (SDGs) through the lens of the Integrated results and performance framework (IRPF) and Medium-term programme framework, 2018-2021.",United Nations Industrial Development Organization,"Provide data visualization for the Strategy Department’s flagship project - visualize UNIDO’s contribution to the Inclusive and Sustainable Industrial Development (ISID) and the Sustainable Development Goals (SDGs) through the lens of the Integrated results and performance framework (IRPF) and Medium-term programme framework, 2018-2021.","Provide data visualization for the Strategy Department’s flagship project - visualize UNIDO’s contribution to the Inclusive and Sustainable Industrial Development (ISID) and the Sustainable Development Goals (SDGs) through the lens of the Integrated results and performance framework (IRPF) and Medium-term programme framework, 2018-2021.","Outcome: Provide data visualization for the Strategy Department’s flagship project - visualize UNIDO’s contribution to the Inclusive and Sustainable Industrial Development (ISID) and the Sustainable Development Goals (SDGs) through the lens of the Integrated results and performance framework (IRPF) and Medium-term programme framework, 2018-2021.",**Programming Languages Used**: None,Tech Stack: Not provided in the document.,"**KPIs**: Provide data visualization for the Strategy Department’s flagship project - visualize UNIDO’s contribution to the Inclusive and Sustainable Industrial Development (ISID) and the Sustainable Development Goals (SDGs) through the lens of the Integrated results and performance framework (IRPF) and Medium-term programme framework, 2018-2021."
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F20_Bloom_Case.pdf,F20,Bloom,Bloom,"Bloom is an online education non-profit organization in China that runs education programs to provide remote education for over 200+ students living in unprivileged areas of China. They are connecting over 100+ tutors (from schools in US, China, and Canada) with corresponding schools in the villages, and teach them classes including but not limited to English, Math, etc.","Bloom is an online education non-profit organization in China that runs education programs to provide remote education for over 200+ students living in unprivileged areas of China. They are connecting over 100+ tutors (from schools in US, China, and Canada) with corresponding schools in the villages, and teach them classes including but not limited to English, Math, etc.","Bloom is an online education non-profit organization in China that runs education programs to provide remote education for over 200+ students living in unprivileged areas of China. They are connecting over 100+ tutors (from schools in US, China, and Canada) with corresponding schools in the villages, and teach them classes including but not limited to English, Math, etc.",**Programming Languages Used**: javascript,"Web development skills, Front-end, javascript, Back-end, Data system set-up",**KPIs**: Not explicitly mentioned in the document.
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F21_Airbus_Case.pdf,F21,**Case Name**: OS-Climate,Airbus,"We will be working with the Chief Engineer of Digital Product Development and Manufacturing and his team with the goal of contributing to the open source project, OS-Climate. OS-Climate is a project that many Fortune 500 companies are contributing to in order to make climate data more accessible. Airbus has incentives to contribute to OS-Climate for a number of reasons. First, they want to do good for the world... but it’s a big company that wants to make money, and there are always other motives. The main reason is that there is a pact among similar companies to reduce CO2 emissions by 50% by 2050. In order to achieve this, it will require the contribution of many companies. Working solo to gain an edge is not an option with a goal this large.","We will be working with the Chief Engineer of Digital Product Development and Manufacturing and his team with the goal of contributing to the open source project, OS-Climate. OS-Climate is a project that many Fortune 500 companies are contributing to in order to make climate data more accessible. Airbus has incentives to contribute to OS-Climate for a number of reasons. First, they want to do good for the world... but it’s a big company that wants to make money, and there are always other motives. The main reason is that there is a pact among similar companies to reduce CO2 emissions by 50% by 2050. In order to achieve this, it will require the contribution of many companies. Working solo to gain an edge is not an option with a goal this large.",The end goal is to add this data to OS-Climate for public access.,**Programming Languages Used**: Not specified in the document.,**Tech Stack**: Not specified in the document.,"**KPIs**: Gather Data And Create Datasets, Create Pricing Model, Add data to OS-Climate for public access."
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F21_HeadSpace_Case.pdf,F21,HeadSpace,Headspace,This Statement of Work (SOW) defines work to be performed by Harvard Data Analytics Group for Headspace through their Data Analytics and Business Intelligence team. This work consists of creating forecasting models on various metrics to help inform business expectations for Headspace. This effort is in support of Headspace’s growing efforts in leveraging data science to become more competitive in the wellness industry.,This Statement of Work (SOW) defines work to be performed by Harvard Data Analytics Group for Headspace through their Data Analytics and Business Intelligence team. This work consists of creating forecasting models on various metrics to help inform business expectations for Headspace. This effort is in support of Headspace’s growing efforts in leveraging data science to become more competitive in the wellness industry.,"Outcome: HDAG will build weekly or monthly forecasting models that forecast Headspace subscription metrics through December 2022, and generate a set of insights from the forecast models, culminating in a presentation on these key insights.","Python, R","**Tech Stack**: Python, R","free trial starts, free trial conversion rate, paid member renewal rate, average revenue per member, content starts, active days"
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F20_UNWTO_Case.pdf,F20,Case Name: UNWTO,UNWTO,"The project’s focus will be data analytics that can support tourism forecasting. Using Google trends data, UNWTO monthly and quarterly data on international tourist arrivals and international tourism receipts go correlate international tourist arrivals and spending per country.","The World Tourism Organization is the United Nations specialized agency responsible for the promotion of responsible, sustainable and universally accessible tourism. With the department of Market Intelligence & Competitiveness, the project’s focus will be data analytics that can support tourism forecasting. Using Google trends data, UNWTO monthly and quarterly data on international tourist arrivals and international tourism receipts go correlate international tourist arrivals and spending per country.",Outcome: The project’s focus will be data analytics that can support tourism forecasting.,**Programming Languages Used**: None,Tech Stack: Google trends data,"**KPIs**: international tourist arrivals, international tourism receipts, spending per country"
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F21_HP_Case.pdf,F21,HP,HP,HP is aiming to transition towards offering digital products by analyzing existing data from users of their devices to identify user pain points and new product offerings. The HDAG team will explore user data from HP’s devices and identify avenues for creating new features and services in the digital space.,"HP has traditionally been primarily a hardware company, with products such as printers, scanners and laptops. However, they are aiming to transition towards offering digital products. Towards that end, they want to analyze existing data from users of their devices in order to identify user pain points and new product offerings. For example, if they identified that users were commonly using scanners to scan signed documents, they could think about developing a service similar to docusign. The HDAG team will explore a large quantity of user data from HP’s devices, printers, scanners, etc. HP wants to get a grasp on the data and identify what data sources might be valuable for additional analysis. The HDAG team will identify avenues where HP can leverage its existing user base and product offerings to create new features and services primarily in the digital space. These insights can be based on market research as well as driven by the team’s exploration of the available data.","Outcome: The HDAG team will explore user data to identify pain points and new product offerings, and develop a digital product strategy leveraging existing user base and product offerings.",Programming Languages Used: None specified,"Data Analysis, Machine Learning",**KPIs**: Not explicitly mentioned in the document.
/mnt/c/Users/joshd/Downloads/pastsourcing/backend/data/cases/F21_Lightspeed_Case.pdf,F21,Lightspeed Venture Partners,Lightspeed Venture Partners,Automating data transformation to match LSVP’s existing data channels and may include building and deploying a machine learning model on the clients data on startups or founders.,Automating data transformation to match LSVP’s existing data channels and may include building and deploying a machine learning model on the clients data on startups or founders. This effort is in support of LSVP’s efforts in leveraging data science to become more competitive in the venture industry.,The document does not explicitly state an outcome.,Python,"Python, JSON, CSV, Machine Learning",**KPIs**: Not specified in the document.
